Genes,logFC,AveExpr,t,P.Value,adj.P.Val,B,xiao,signifficant,names
NUP155,-0.4052999409700675,8.632075638590846,-1.452557977391284,0.17542877024706968,0.6488037654089173,-4.864653577441268,0.49389440522748485,not signifficant,
PFN1,0.5981159628107271,13.768619424852375,1.4400354624330125,0.17640540669523036,0.6488037654089173,-4.879014662463626,0.3542637656859644,not signifficant,
TFAM,-0.7720519644929666,10.232471495336057,-1.4389778634193386,0.17669861614711982,0.6488037654089173,-4.880276207381761,0.26231605560007126,not signifficant,
KIAA1671,0.3913989488208802,8.861902361157536,1.4385376047324718,0.1768207950229637,0.6488037654089173,-4.88080118313878,0.5075576054773518,not signifficant,
MYBBP1A,0.620139538452289,10.464486979479146,1.4719984159189066,0.17684349685045841,0.6488037654089173,-4.765450860381725,0.3415075016694906,not signifficant,
KNG1,0.4802650958255974,13.54672342190765,1.4374564530245646,0.17712113472926239,0.6488037654089173,-4.882089922399362,0.435482296839665,not signifficant,
PRDX3,-0.4647994853198938,16.771078786574417,-1.435767505240844,0.17759117954147474,0.6488037654089173,-4.884101866339648,0.44784883540966286,not signifficant,
VAMP5,-0.5915343075794652,11.690449944177272,-1.4350566239322464,0.17778933682140674,0.6488037654089173,-4.884948225821274,0.35999253369627277,not signifficant,
CD36,-0.523118683997783,14.610995222857074,-1.434154279373008,0.17804113287454015,0.6488037654089173,-4.886022134487886,0.4054461597689803,not signifficant,
IMMT,-0.6202387980041397,14.244137548306982,-1.4339259569109242,0.17810489311325534,0.6488037654089173,-4.886293796784252,0.34295733089212954,not signifficant,
CRBN,-0.5036613275737469,9.551014662457263,-1.4335133625400132,0.17822016108914313,0.6488037654089173,-4.886784635988825,0.41950382354374527,not signifficant,
MCCC2,-0.5615904658192363,11.049281388149355,-1.4321988038564277,0.1785878336936937,0.6488037654089173,-4.888347859943096,0.380055605799571,not signifficant,
NIT2,0.4900571176189885,11.431499428413106,1.4320768353846656,0.17862197979564373,0.6488037654089173,-4.888492851714421,0.42993754538965917,not signifficant,
NDUFA6,-0.5913982780207139,13.80363450723031,-1.4303737164108523,0.17909935757206477,0.6488037654089173,-4.89051659647744,0.3616438585916651,not signifficant,
GCSH,-0.5519347242774337,13.303143840376075,-1.4296440540060615,0.17930420792410864,0.6488037654089173,-4.891383130850773,0.387284992651227,not signifficant,
SIRT5,-0.6399124043565028,8.506350882009249,-1.4380469354367056,0.17941241003466585,0.6488037654089173,-4.881864818504809,0.3330664947863815,not signifficant,
