,fiberID,subject,fiber_number,plate_number,plate_position,digestion_batch,MS_batch,date_isolation
712,P5_fibNumber158,P5,158,6,H1,3,2,09/12/2021
713,P5_fibNumber157,P5,157,4,D8,2,1,09/12/2021
714,P5_fibNumber156,P5,156,9,A3,5,3,09/12/2021
715,P5_fibNumber155,P5,155,4,D4,2,1,09/12/2021
716,P5_fibNumber154,P5,154,11,B5,6,3,09/12/2021
717,P5_fibNumber153,P5,153,9,F8,5,3,09/12/2021
718,P5_fibNumber152,P5,152,5,H1,3,2,09/12/2021
719,P5_fibNumber151,P5,151,3,C5,2,1,09/12/2021
720,P5_fibNumber150,P5,150,10,F5,5,3,09/12/2021
721,P5_fibNumber149,P5,149,5,E2,3,2,09/12/2021
722,P5_fibNumber148,P5,148,5,C4,3,2,09/12/2021
723,P5_fibNumber147,P5,147,11,D6,6,3,09/12/2021
724,P5_fibNumber146,P5,146,1,G3,1,1,09/12/2021
725,P5_fibNumber145,P5,145,2,F12,1,1,09/12/2021
726,P5_fibNumber144,P5,144,2,B6,1,1,09/12/2021
727,P5_fibNumber143,P5,143,4,C11,2,1,09/12/2021
728,P5_fibNumber142,P5,142,7,A7,4,2,09/12/2021
729,P5_fibNumber141,P5,141,10,G1,5,3,09/12/2021
730,P5_fibNumber140,P5,140,1,B1,1,1,09/12/2021
731,P5_fibNumber14,P5,14,4,D7,2,1,01/10/2021
732,P5_fibNumber139,P5,139,7,G5,4,2,09/12/2021
733,P5_fibNumber138,P5,138,1,B12,1,1,09/12/2021
734,P5_fibNumber137,P5,137,3,H3,2,1,09/12/2021
735,P5_fibNumber136,P5,136,9,B6,5,3,09/12/2021
736,P5_fibNumber135,P5,135,11,E1,6,3,09/12/2021
737,P5_fibNumber134,P5,134,1,F10,1,1,07/12/2021
738,P5_fibNumber133,P5,133,3,D4,2,1,07/12/2021
739,P5_fibNumber132,P5,132,2,A11,1,1,07/12/2021
740,P5_fibNumber131,P5,131,11,B12,6,3,07/12/2021
741,P5_fibNumber130,P5,130,3,F12,2,1,07/12/2021
742,P5_fibNumber13,P5,13,7,H3,4,2,01/10/2021
743,P5_fibNumber129,P5,129,8,A6,4,3,07/12/2021
744,P5_fibNumber128,P5,128,4,F3,2,1,07/12/2021
745,P5_fibNumber126,P5,126,1,G9,1,1,07/12/2021
746,P5_fibNumber125,P5,125,2,H2,1,1,07/12/2021
747,P5_fibNumber124,P5,124,7,C10,4,2,07/12/2021
748,P5_fibNumber123,P5,123,2,D10,1,1,07/12/2021
749,P5_fibNumber122,P5,122,10,G8,5,3,07/12/2021
750,P5_fibNumber121,P5,121,3,G11,2,1,07/12/2021
751,P5_fibNumber120,P5,120,2,G3,1,1,07/12/2021
752,P5_fibNumber12,P5,12,2,D2,1,1,01/10/2021
753,P5_fibNumber119,P5,119,11,D9,6,3,07/12/2021
754,P5_fibNumber118,P5,118,5,A4,3,2,07/12/2021
755,P5_fibNumber117,P5,117,10,E11,5,3,07/12/2021
756,P5_fibNumber116,P5,116,3,E7,2,1,07/12/2021
757,P5_fibNumber115,P5,115,10,H7,5,3,07/12/2021
758,P5_fibNumber114,P5,114,11,B1,6,3,07/12/2021
759,P5_fibNumber113,P5,113,3,H10,2,1,07/12/2021
760,P5_fibNumber112,P5,112,4,D6,2,1,07/12/2021
761,P5_fibNumber111,P5,111,3,A12,2,1,07/12/2021
762,P5_fibNumber110,P5,110,7,F2,4,2,07/12/2021
763,P5_fibNumber11,P5,11,5,B4,3,2,01/10/2021
764,P5_fibNumber109,P5,109,11,A7,6,3,07/12/2021
765,P5_fibNumber108,P5,108,1,B11,1,1,07/12/2021
766,P5_fibNumber107,P5,107,8,E11,4,3,07/12/2021
767,P5_fibNumber106,P5,106,3,B4,2,1,07/12/2021
768,P5_fibNumber105,P5,105,6,H4,3,2,07/12/2021
769,P5_fibNumber104,P5,104,5,A8,3,2,07/12/2021
770,P5_fibNumber102,P5,102,2,E10,1,1,07/12/2021
771,P5_fibNumber101,P5,101,3,G9,2,1,07/12/2021
772,P5_fibNumber100,P5,100,11,B9,6,3,07/12/2021
773,P4_fibNumberE5,P4,E5,11,H5,6,3,06/12/2021
774,P4_fibNumberE4,P4,E4,11,G9,6,3,06/12/2021
775,P4_fibNumberE3,P4,E3,11,G7,6,3,06/12/2021
776,P4_fibNumber99,P4,99,11,C3,6,3,08/11/2011
777,P4_fibNumber98,P4,98,8,A2,4,3,08/11/2011
778,P4_fibNumber97,P4,97,2,F11,1,1,08/11/2011
779,P4_fibNumber96,P4,96,8,D9,4,3,08/11/2011
780,P4_fibNumber95,P4,95,9,D7,5,3,08/11/2011
781,P4_fibNumber94,P4,94,3,H2,2,1,08/11/2011
